question_1,question_2,domain_1,domain_2,correlation,absolute_correlation,sign,paired_n
V07,V08,Environment,Environment,0.6515259709690223,0.6515259709690223,positive,85
V08,V10,Environment,Environment,0.6334183060921685,0.6334183060921685,positive,85
V05,V07,Environment,Environment,0.5908880260888156,0.5908880260888156,positive,85
V10,V12,Environment,Environment,0.5654151358211258,0.5654151358211258,positive,84
V09,V13,Environment,Environment,0.5626914383514261,0.5626914383514261,positive,85
V13,V14,Environment,Environment,0.5594334505093526,0.5594334505093526,positive,85
E14,E15,Education,Education,0.555197096230678,0.555197096230678,positive,87
T10,S05,Technology,Society/Ethics,0.5474598884899124,0.5474598884899124,positive,87
V08,V12,Environment,Environment,0.5385480126966031,0.5385480126966031,positive,84
E07,E10,Education,Education,0.525911944424929,0.525911944424929,positive,87
S09,S14,Society/Ethics,Society/Ethics,0.5176951456469693,0.5176951456469693,positive,83
V05,V06,Environment,Environment,0.5158684543418053,0.5158684543418053,positive,84
S13,V10,Society/Ethics,Environment,0.5152574875661995,0.5152574875661995,positive,85
S11,V06,Society/Ethics,Environment,0.4998544056809194,0.4998544056809194,positive,84
S06,S09,Society/Ethics,Society/Ethics,0.4988351216888095,0.4988351216888095,positive,85
V07,V09,Environment,Environment,0.4953206890620732,0.4953206890620732,positive,85
V07,V13,Environment,Environment,0.4931461467844642,0.4931461467844642,positive,85
V07,V12,Environment,Environment,0.4905984156602722,0.4905984156602722,positive,84
T12,T13,Technology,Technology,0.48997597901486206,0.48997597901486206,positive,88
E07,V07,Education,Environment,0.48760510419883396,0.48760510419883396,positive,85
S07,S09,Society/Ethics,Society/Ethics,0.4861525401536585,0.4861525401536585,positive,84
T11,S14,Technology,Society/Ethics,0.48499676835860434,0.48499676835860434,positive,82
S09,S11,Society/Ethics,Society/Ethics,0.48374575749062354,0.48374575749062354,positive,85
V06,V07,Environment,Environment,0.48363073100431553,0.48363073100431553,positive,84
T02,E12,Technology,Education,0.48239020589492604,0.48239020589492604,positive,87
S01,S03,Society/Ethics,Society/Ethics,0.47817021015290884,0.47817021015290884,positive,86
S09,V03,Society/Ethics,Environment,0.47647759001743684,0.47647759001743684,positive,84
V05,V15,Environment,Environment,0.4732645111885172,0.4732645111885172,positive,85
V03,V10,Environment,Environment,0.47300625936678614,0.47300625936678614,positive,85
S14,V13,Society/Ethics,Environment,0.47204880799938137,0.47204880799938137,positive,82
S14,V09,Society/Ethics,Environment,0.47043608801723213,0.47043608801723213,positive,82
S15,V12,Society/Ethics,Environment,0.470255703655987,0.470255703655987,positive,83
V06,V12,Environment,Environment,0.46775988624294723,0.46775988624294723,positive,83
S13,S14,Society/Ethics,Society/Ethics,0.4646918985374182,0.4646918985374182,positive,84
E07,E12,Education,Education,0.46409231580125415,0.46409231580125415,positive,87
V07,V14,Environment,Environment,0.4630615129082052,0.4630615129082052,positive,85
V01,V02,Environment,Environment,0.45932977282356985,0.45932977282356985,positive,84
S06,V10,Society/Ethics,Environment,0.45610814374352643,0.45610814374352643,positive,85
V08,V13,Environment,Environment,0.45488329123620697,0.45488329123620697,positive,85
S09,S13,Society/Ethics,Society/Ethics,0.45415288964744654,0.45415288964744654,positive,85
V07,V15,Environment,Environment,0.45285597607034195,0.45285597607034195,positive,85
S06,V08,Society/Ethics,Environment,0.45205743487354405,0.45205743487354405,positive,85
E11,S11,Education,Society/Ethics,0.4509917996132394,0.4509917996132394,positive,87
S14,S15,Society/Ethics,Society/Ethics,0.44855568126855494,0.44855568126855494,positive,83
S01,S14,Society/Ethics,Society/Ethics,0.4480971050379556,0.4480971050379556,positive,83
E07,V08,Education,Environment,0.4473447977192373,0.4473447977192373,positive,85
T10,T12,Technology,Technology,0.44633003950968014,0.44633003950968014,positive,90
V06,V15,Environment,Environment,0.4445654043574991,0.4445654043574991,positive,84
V03,V04,Environment,Environment,0.44354878109244567,0.44354878109244567,positive,86
V03,V12,Environment,Environment,0.4426825978389813,0.4426825978389813,positive,84
S13,V03,Society/Ethics,Environment,0.43808214078385427,0.43808214078385427,positive,86
V11,V14,Environment,Environment,0.43722011048232223,0.43722011048232223,positive,84
V04,V06,Environment,Environment,0.43649743042558975,0.43649743042558975,positive,84
S09,V14,Society/Ethics,Environment,0.4333746216512559,0.4333746216512559,positive,83
V07,V10,Environment,Environment,0.4332527208864366,0.4332527208864366,positive,85
S02,S04,Society/Ethics,Society/Ethics,0.43196499361420093,0.43196499361420093,positive,87
E05,E06,Education,Education,0.4307626555182332,0.4307626555182332,positive,84
S02,V10,Society/Ethics,Environment,0.42838213997627117,0.42838213997627117,positive,85
V01,V13,Environment,Environment,0.4280034541319729,0.4280034541319729,positive,84
E11,V09,Education,Environment,0.4257169291997031,0.4257169291997031,positive,85
V12,V14,Environment,Environment,0.4250557968397263,0.4250557968397263,positive,84
S09,V09,Society/Ethics,Environment,0.4240851288402717,0.4240851288402717,positive,83
T12,S13,Technology,Society/Ethics,0.4237249549280872,0.4237249549280872,positive,86
V08,V14,Environment,Environment,0.4235015177216976,0.4235015177216976,positive,85
S09,S15,Society/Ethics,Society/Ethics,0.42341188670490654,0.42341188670490654,positive,84
S02,S15,Society/Ethics,Society/Ethics,0.423323299799949,0.423323299799949,positive,86
V04,V08,Environment,Environment,0.42284305980559245,0.42284305980559245,positive,85
V06,V09,Environment,Environment,0.422514548877027,0.422514548877027,positive,84
S03,S09,Society/Ethics,Society/Ethics,0.42210047545599566,0.42210047545599566,positive,85
S11,V07,Society/Ethics,Environment,0.4208444741236331,0.4208444741236331,positive,85
S07,V12,Society/Ethics,Environment,0.42054720246772515,0.42054720246772515,positive,83
E15,V02,Education,Environment,0.4185958302120988,0.4185958302120988,positive,85
E10,E15,Education,Education,0.4182686580167919,0.4182686580167919,positive,87
V05,V12,Environment,Environment,0.4179911150361838,0.4179911150361838,positive,84
S14,V12,Society/Ethics,Environment,0.4174382425372944,0.4174382425372944,positive,81
S09,V10,Society/Ethics,Environment,0.4166639941121655,0.4166639941121655,positive,83
V09,V15,Environment,Environment,0.4163996106928083,0.4163996106928083,positive,85
S15,V10,Society/Ethics,Environment,0.41344780386397406,0.41344780386397406,positive,84
S11,V14,Society/Ethics,Environment,0.4129741383533898,0.4129741383533898,positive,85
E11,V07,Education,Environment,0.41221894824382543,0.41221894824382543,positive,85
E15,S07,Education,Society/Ethics,0.41211290018766433,0.41211290018766433,positive,86
E12,E14,Education,Education,0.4120788570547255,0.4120788570547255,positive,87
V03,V15,Environment,Environment,0.4103118790921779,0.4103118790921779,positive,85
S10,S12,Society/Ethics,Society/Ethics,0.409317316450986,0.409317316450986,positive,83
E15,V15,Education,Environment,0.40756750899990707,0.40756750899990707,positive,85
S06,V07,Society/Ethics,Environment,0.4052720311734418,0.4052720311734418,positive,85
E11,E15,Education,Education,0.4046992319337703,0.4046992319337703,positive,87
E03,E10,Education,Education,-0.4045575292667455,0.4045575292667455,negative,87
S03,S04,Society/Ethics,Society/Ethics,0.4038098193875608,0.4038098193875608,positive,87
S09,V11,Society/Ethics,Environment,0.4037838132611681,0.4037838132611681,positive,82
S10,V15,Society/Ethics,Environment,0.4022630977826519,0.4022630977826519,positive,82
E07,S06,Education,Society/Ethics,0.4021406867919183,0.4021406867919183,positive,87
S13,V08,Society/Ethics,Environment,0.3975599067128701,0.3975599067128701,positive,85
S07,V04,Society/Ethics,Environment,0.3971547018964132,0.3971547018964132,positive,85
S10,V08,Society/Ethics,Environment,0.3968801855863346,0.3968801855863346,positive,82
E10,S06,Education,Society/Ethics,0.3963513436153727,0.3963513436153727,positive,87
T11,S10,Technology,Society/Ethics,0.3960538581330232,0.3960538581330232,positive,82
S10,S13,Society/Ethics,Society/Ethics,0.3958990785773689,0.3958990785773689,positive,84
S09,V04,Society/Ethics,Environment,0.3954104773407391,0.3954104773407391,positive,84
S04,S14,Society/Ethics,Society/Ethics,0.39435282459279086,0.39435282459279086,positive,84
E07,S11,Education,Society/Ethics,0.3941230070451639,0.3941230070451639,positive,87
V10,V13,Environment,Environment,0.3940977609497875,0.3940977609497875,positive,85
V04,V15,Environment,Environment,0.3940868304381654,0.3940868304381654,positive,85
E06,S10,Education,Society/Ethics,0.3939849266435431,0.3939849266435431,positive,83
S10,V11,Society/Ethics,Environment,0.393068867142299,0.393068867142299,positive,82
S03,S13,Society/Ethics,Society/Ethics,0.3926149195394892,0.3926149195394892,positive,87
T11,V10,Technology,Environment,0.39067869188148724,0.39067869188148724,positive,83
V02,V04,Environment,Environment,0.38987713815129604,0.38987713815129604,positive,85
T11,S09,Technology,Society/Ethics,0.38878391446026217,0.38878391446026217,positive,83
E07,E14,Education,Education,0.3875985262585227,0.3875985262585227,positive,87
T03,T12,Technology,Technology,0.3875252401085992,0.3875252401085992,positive,88
S09,V13,Society/Ethics,Environment,0.3874601487117071,0.3874601487117071,positive,83
S03,V03,Society/Ethics,Environment,0.38682970798829797,0.38682970798829797,positive,86
E10,E12,Education,Education,0.3863954012567695,0.3863954012567695,positive,87
T12,S05,Technology,Society/Ethics,0.38638650433952904,0.38638650433952904,positive,86
V05,V08,Environment,Environment,0.38585460610017,0.38585460610017,positive,85
S01,S02,Society/Ethics,Society/Ethics,0.3850244202173145,0.3850244202173145,positive,86
S07,V02,Society/Ethics,Environment,0.3849208805544028,0.3849208805544028,positive,84
V12,V13,Environment,Environment,0.3847658455775051,0.3847658455775051,positive,84
S14,V07,Society/Ethics,Environment,0.38400773375066255,0.38400773375066255,positive,82
V06,V08,Environment,Environment,0.3835679560253855,0.3835679560253855,positive,84
T06,E12,Technology,Education,0.3835436230997992,0.3835436230997992,positive,87
V04,V05,Environment,Environment,0.3828358302513778,0.3828358302513778,positive,86
V01,V11,Environment,Environment,0.38261593273434863,0.38261593273434863,positive,84
V12,V15,Environment,Environment,0.3825463447781864,0.3825463447781864,positive,84
E11,S06,Education,Society/Ethics,0.3825341549961386,0.3825341549961386,positive,87
S09,S12,Society/Ethics,Society/Ethics,0.3821395099505851,0.3821395099505851,positive,85
S14,V15,Society/Ethics,Environment,0.38199853476896184,0.38199853476896184,positive,82
V04,V10,Environment,Environment,0.3818503721811468,0.3818503721811468,positive,85
T06,V15,Technology,Environment,0.38134237208664,0.38134237208664,positive,85
E01,E10,Education,Education,0.38093425705244927,0.38093425705244927,positive,87
S02,S12,Society/Ethics,Society/Ethics,0.38056986877419813,0.38056986877419813,positive,86
S07,S15,Society/Ethics,Society/Ethics,0.37987731936908786,0.37987731936908786,positive,85
E07,S09,Education,Society/Ethics,0.37943017482159236,0.37943017482159236,positive,85
S06,V11,Society/Ethics,Environment,0.3792569006322139,0.3792569006322139,positive,84
V09,V14,Environment,Environment,0.37907573703776376,0.37907573703776376,positive,85
S09,V07,Society/Ethics,Environment,0.379014122803935,0.379014122803935,positive,83
S13,S15,Society/Ethics,Society/Ethics,0.37897010446203433,0.37897010446203433,positive,86
S15,V08,Society/Ethics,Environment,0.37868581253808026,0.37868581253808026,positive,84
V11,V13,Environment,Environment,0.37781569353610406,0.37781569353610406,positive,84
S15,V06,Society/Ethics,Environment,0.37643309417390397,0.37643309417390397,positive,83
S09,V12,Society/Ethics,Environment,0.37620787749953033,0.37620787749953033,positive,82
E10,S11,Education,Society/Ethics,0.3740778535923339,0.3740778535923339,positive,87
V13,V15,Environment,Environment,0.3740054600101313,0.3740054600101313,positive,85
S07,V14,Society/Ethics,Environment,0.3739616748418065,0.3739616748418065,positive,84
E11,S09,Education,Society/Ethics,0.37334769220776204,0.37334769220776204,positive,85
S15,V03,Society/Ethics,Environment,0.3731059907332063,0.3731059907332063,positive,85
E10,V07,Education,Environment,0.37276260979711634,0.37276260979711634,positive,85
E10,E11,Education,Education,0.3724376827664298,0.3724376827664298,positive,87
V10,V15,Environment,Environment,0.37189909895852247,0.37189909895852247,positive,85
S14,V08,Society/Ethics,Environment,0.3706969771905031,0.3706969771905031,positive,82
E11,S07,Education,Society/Ethics,0.36983344183212213,0.36983344183212213,positive,86
S06,V14,Society/Ethics,Environment,0.36949196446320787,0.36949196446320787,positive,85
S04,S12,Society/Ethics,Society/Ethics,0.36889676362642393,0.36889676362642393,positive,86
S01,S15,Society/Ethics,Society/Ethics,0.3686303697031116,0.3686303697031116,positive,85
E07,E15,Education,Education,0.3682920928338234,0.3682920928338234,positive,87
T01,T02,Technology,Technology,0.3678840265917699,0.3678840265917699,positive,91
S14,V14,Society/Ethics,Environment,0.3666124317364691,0.3666124317364691,positive,82
S14,V10,Society/Ethics,Environment,0.3663340933390453,0.3663340933390453,positive,82
T06,S07,Technology,Society/Ethics,0.36605205479533015,0.36605205479533015,positive,86
T07,V01,Technology,Environment,0.3658228282921394,0.3658228282921394,positive,85
S13,V14,Society/Ethics,Environment,0.3642189217730985,0.3642189217730985,positive,85
V04,V07,Environment,Environment,0.3639650294082246,0.3639650294082246,positive,85
S03,S14,Society/Ethics,Society/Ethics,0.3638767551168379,0.3638767551168379,positive,84
V01,V14,Environment,Environment,0.3635936306056119,0.3635936306056119,positive,84
V04,V09,Environment,Environment,0.36341511422963213,0.36341511422963213,positive,85
V08,V15,Environment,Environment,0.3626442623537984,0.3626442623537984,positive,85
S06,V01,Society/Ethics,Environment,0.3625650040225732,0.3625650040225732,positive,85
V03,V14,Environment,Environment,0.3604119124074774,0.3604119124074774,positive,85
