question_code,domain,question,valid_n,missing_n,mean,median,std_dev,agree_share
T01,Technology,Artificial Intelligence will improve society more than it will create problems.,91,0,3.6373626373626373,4.0,0.9833783437888832,0.6813186813186813
T02,Technology,Generative AI tools should be allowed as learning aids in higher education.,91,0,4.0,4.0,0.9888264649460884,0.7912087912087912
T03,Technology,Students should disclose the use of AI in assignments and reports.,89,2,4.01123595505618,4.0,0.8460386572737881,0.7528089887640449
T04,Technology,Every engineering student should receive formal education in AI.,91,0,4.208791208791209,4.0,0.8368789042426034,0.8131868131868132
T05,Technology,Artificial Intelligence will significantly accelerate scientific discovery.,91,0,4.186813186813187,4.0,0.9056868223997853,0.8131868131868132
T06,Technology,Most repetitive jobs will eventually be replaced by intelligent automation.,91,0,4.208791208791209,4.0,0.8884003541507564,0.8681318681318682
T07,Technology,Robots should replace humans in hazardous occupations whenever possible.,91,0,4.208791208791209,5.0,1.0383371697787178,0.8241758241758241
T08,Technology,AI-assisted diagnosis should become routine in healthcare.,90,1,3.077777777777778,3.0,1.0936772090991342,0.37777777777777777
T09,Technology,Autonomous vehicles will ultimately make transportation safer.,90,1,3.2777777777777777,3.0,0.9601940086941206,0.4222222222222222
T10,Technology,Protection of personal data is more important than technological convenience.,91,0,4.153846153846154,4.0,0.880947430933524,0.8021978021978022
T11,Technology,Technology companies should explain how recommendation algorithms work.,89,2,4.157303370786517,4.0,0.8777408553742124,0.8202247191011236
T12,Technology,Governments should introduce stricter regulations for Artificial Intelligence.,90,1,4.022222222222222,4.0,1.0053539572090544,0.7555555555555555
T13,Technology,Cybersecurity deserves greater investment than the development of new digital technologies.,89,2,3.9775280898876404,4.0,0.9042516756699941,0.651685393258427
T14,Technology,Social media algorithms contribute to opinion polarization.,90,1,4.5,5.0,0.7680414314667134,0.9111111111111111
T15,Technology,Society will increasingly depend on AI-assisted decision making.,90,1,4.166666666666667,4.0,0.782534057125821,0.8111111111111111
E01,Education,Project-based learning develops deeper understanding than examination-oriented learning.,87,4,4.32183908045977,5.0,0.9085415462408178,0.8390804597701149
E02,Education,Traditional written examinations accurately measure a student's knowledge.,87,4,2.839080459770115,3.0,1.1193183475751618,0.3218390804597701
E03,Education,Class attendance should be compulsory for all courses.,87,4,2.057471264367816,2.0,1.124322243792051,0.12643678160919541
E04,Education,High-quality online learning can effectively complement classroom teaching.,87,4,3.4367816091954024,4.0,1.1683933455349718,0.5402298850574713
E05,Education,Students should be encouraged to take courses outside their primary discipline.,85,6,4.094117647058823,4.0,0.90794809758001,0.8117647058823529
E06,Education,Every undergraduate student should participate in at least one research project.,86,5,3.872093023255814,4.0,0.9554366002656707,0.6976744186046512
E07,Education,"Publishing research before graduation should be encouraged, but not mandatory.",87,4,4.2988505747126435,4.0,0.7488742330640975,0.8505747126436781
E08,Education,Maintaining academic honesty is more important than obtaining high grades.,85,6,4.258823529411765,4.0,0.8040513661699579,0.8235294117647058
E09,Education,Collaborative learning is generally more effective than individual learning.,86,5,3.7906976744186047,4.0,1.0416760145499397,0.6162790697674418
E10,Education,Universities should prioritize innovation and problem-solving over rote learning.,87,4,4.528735632183908,5.0,0.6961535593058392,0.9425287356321839
