question_code,domain,question,valid_n,missing_n,mean,median,std_dev,agree_share,community,degree,strength,positive_strength,negative_strength,betweenness,participation
T01,Technology,Artificial Intelligence will improve society more than it will create problems.,91,0,3.6373626373626373,4.0,0.9833783437888832,0.6813186813186813,2,1,0.3678840265917699,0.3678840265917699,0.0,0.0,0.0
T02,Technology,Generative AI tools should be allowed as learning aids in higher education.,91,0,4.0,4.0,0.9888264649460884,0.7912087912087912,2,2,0.8502742324866959,0.8502742324866959,0.0,0.032144944476914086,0.4909320353971749
T03,Technology,Students should disclose the use of AI in assignments and reports.,89,2,4.01123595505618,4.0,0.8460386572737881,0.7528089887640449,1,4,1.3517699302460426,1.0188063190156464,0.33296361123039614,0.03331385154880187,0.6333795338097505
T04,Technology,Every engineering student should receive formal education in AI.,91,0,4.208791208791209,4.0,0.8368789042426034,0.8131868131868132,2,1,0.3031740517416,0.3031740517416,0.0,0.0,0.0
T05,Technology,Artificial Intelligence will significantly accelerate scientific discovery.,91,0,4.186813186813187,4.0,0.9056868223997853,0.8131868131868132,2,1,0.3347194992213716,0.3347194992213716,0.0,0.0,0.0
T06,Technology,Most repetitive jobs will eventually be replaced by intelligent automation.,91,0,4.208791208791209,4.0,0.8884003541507564,0.8681318681318682,2,5,1.7879179993608985,1.7879179993608985,0.0,0.0,0.5738960826760158
T07,Technology,Robots should replace humans in hazardous occupations whenever possible.,91,0,4.208791208791209,5.0,1.0383371697787178,0.8241758241758241,4,2,0.6695008642699718,0.6695008642699718,0.0,0.0,0.0
T08,Technology,AI-assisted diagnosis should become routine in healthcare.,90,1,3.077777777777778,3.0,1.0936772090991342,0.37777777777777777,-1,0,0.0,0.0,0.0,0.0,
T09,Technology,Autonomous vehicles will ultimately make transportation safer.,90,1,3.2777777777777777,3.0,0.9601940086941206,0.4222222222222222,-1,0,0.0,0.0,0.0,0.0,
T10,Technology,Protection of personal data is more important than technological convenience.,91,0,4.153846153846154,4.0,0.880947430933524,0.8021978021978022,1,4,1.624278874154831,1.624278874154831,0.0,0.0,0.44689326832331044
T11,Technology,Technology companies should explain how recommendation algorithms work.,89,2,4.157303370786517,4.0,0.8777408553742124,0.8202247191011236,3,15,5.188094187019091,5.188094187019091,0.0,0.025131502045587374,0.5985825980346416
T12,Technology,Governments should introduce stricter regulations for Artificial Intelligence.,90,1,4.022222222222222,4.0,1.0053539572090544,0.7555555555555555,1,7,2.8187206746251565,2.8187206746251565,0.0,0.029222676797194622,0.4819398020807302
T13,Technology,Cybersecurity deserves greater investment than the development of new digital technologies.,89,2,3.9775280898876404,4.0,0.9042516756699941,0.651685393258427,1,5,1.7961081485068962,1.7961081485068962,0.0,0.0035067212156633543,0.4929607817469358
T14,Technology,Social media algorithms contribute to opinion polarization.,90,1,4.5,5.0,0.7680414314667134,0.9111111111111111,-1,1,0.3131195235354679,0.0,0.3131195235354679,0.0,0.0
T15,Technology,Society will increasingly depend on AI-assisted decision making.,90,1,4.166666666666667,4.0,0.782534057125821,0.8111111111111111,3,1,0.3291419727190526,0.3291419727190526,0.0,0.0,0.0
E01,Education,Project-based learning develops deeper understanding than examination-oriented learning.,87,4,4.32183908045977,5.0,0.9085415462408178,0.8390804597701149,2,5,1.6716096065913009,1.343930755870197,0.32767885072110375,0.03389830508474576,0.3029936824718371
E02,Education,Traditional written examinations accurately measure a student's knowledge.,87,4,2.839080459770115,3.0,1.1193183475751618,0.3218390804597701,-1,1,0.32767885072110375,0.0,0.32767885072110375,0.0,0.0
E03,Education,Class attendance should be compulsory for all courses.,87,4,2.057471264367816,2.0,1.124322243792051,0.12643678160919541,-1,4,1.368609419387743,0.0,1.368609419387743,0.032144944476914086,0.35288660531407945
E04,Education,High-quality online learning can effectively complement classroom teaching.,87,4,3.4367816091954024,4.0,1.1683933455349718,0.5402298850574713,-1,1,0.33296361123039614,0.0,0.33296361123039614,0.0,0.0
E05,Education,Students should be encouraged to take courses outside their primary discipline.,85,6,4.094117647058823,4.0,0.90794809758001,0.8117647058823529,2,4,1.4126300485120127,1.4126300485120127,0.0,0.008182349503214495,0.3527957079091245
E06,Education,Every undergraduate student should participate in at least one research project.,86,5,3.872093023255814,4.0,0.9554366002656707,0.6976744186046512,2,2,0.8247475821617762,0.8247475821617762,0.0,0.0029222676797194622,0.49900574515499985
E07,Education,"Publishing research before graduation should be encouraged, but not mandatory.",87,4,4.2988505747126435,4.0,0.7488742330640975,0.8505747126436781,2,15,5.830758117340307,5.830758117340307,0.0,0.043249561659848036,0.6556529415278114
E08,Education,Maintaining academic honesty is more important than obtaining high grades.,85,6,4.258823529411765,4.0,0.8040513661699579,0.8235294117647058,4,3,0.971524575198135,0.971524575198135,0.0,0.0,0.43125892516529873
E09,Education,Collaborative learning is generally more effective than individual learning.,86,5,3.7906976744186047,4.0,1.0416760145499397,0.6162790697674418,2,4,1.2790754190047906,1.2790754190047906,0.0,0.0011689070718877848,0.379130533162525
E10,Education,Universities should prioritize innovation and problem-solving over rote learning.,87,4,4.528735632183908,5.0,0.6961535593058392,0.9425287356321839,2,19,6.892875500182853,6.488317970916109,0.4045575292667455,0.09117475160724722,0.6426015502334743
E11,Education,University curricula should be updated more frequently to match emerging technologies.,87,4,4.620689655172414,5.0,0.6332158475140235,0.9425287356321839,2,21,7.398278782461893,7.052210083465558,0.3460686989963359,0.05026300409117475,0.6717280312614688
E12,Education,Artificial intelligence should be integrated into teaching and personalized learning.,87,4,3.9310344827586206,4.0,1.031967002450151,0.735632183908046,2,13,4.723091027115178,4.418227359525984,0.3048636675891936,0.06838106370543541,0.6832185639132159
E13,Education,Universities should invest more resources in research than in expanding infrastructure.,85,6,3.3411764705882354,3.0,0.945577943407535,0.3764705882352941,-1,0,0.0,0.0,0.0,0.0,
E14,Education,Strong collaborations between universities and industry improve student education.,87,4,4.528735632183908,5.0,0.6961535593058393,0.9310344827586207,2,8,2.9892101324899403,2.9892101324899403,0.0,0.03272939801285798,0.49749172142471065
E15,Education,Continuous learning and skill development are essential throughout one's career.,87,4,4.712643678160919,5.0,0.503662077029308,0.9770114942528736,2,13,4.927959602756902,4.927959602756902,0.0,0.025715955581531266,0.6461140501051635
S01,Society/Ethics,Every individual has a responsibility to contribute positively to society.,86,5,4.27906976744186,4.0,0.9029515365888585,0.8837209302325582,3,7,2.6462503098765935,2.6462503098765935,0.0,0.0017533606078316772,0.0
S02,Society/Ethics,Universities should encourage students to participate in community service activities.,87,4,3.839080459770115,4.0,1.055148652796117,0.7241379310344828,3,10,3.7316059942945827,3.7316059942945827,0.0,0.010520163646990063,0.3422967118702418
